"config","ratio","comp_MBps","decomp_MBps","roundtrip"
"level 1","2.68049796468449","273.46268551955","608.314245095466","True"
"level 2","3.04648884087893","109.45451190446","637.289429816252","True"
"level 3","3.0882474427381","70.853022668693","657.907881038228","True"
"level 4","3.11905070319466","49.4127750570241","603.409171032701","True"
"level 5","3.14028218324476","32.7797906754898","642.533765702481","True"
"level 6","3.1542887539386","24.2169561603963","682.528821574596","True"
"level 7","3.25293350356585","29.6075040855777","589.131516578071","True"
"level 8","3.47974608571192","13.2521115072481","552.363472949997","True"
"level 9","3.51149290559042","12.6008034131121","437.190334155102","True"
"hash default (parallel)","3.14028218324476","35.4973932667798","660.698706767997","True"
"bt parallel w=8M","3.28729768778384","26.1218657821528","599.130095463997","True"
"bt single w=1M","3.22594714453353","6.10610910935867","247.737407487251","True"
"bt single w=8M","3.42515054478561","2.8592442734004","270.236034710341","True"
"bt single w=32M","3.54432499163451","2.1159691165053","231.481708861677","True"
"bt single w=128M (full)","3.57388268008178","1.92347835293058","222.893646555117","True"
